id,author,title,url,urlToImage,publishedAt,SourceId
397,"Gillian Edevane","President Trump's Memorial Day Tweets Offended Some Conservative Leaders",http://www.newsweek.com/donald-trump-memorial-day-2018-remarks-slammed-critics-946322,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/gettyimages-488226322.jpg,"2018-05-28 17:14:25",newsweek
398,"Meghan Bartels","Who Was Sally Ride? First American Woman in Space Honored With Postage Stamp",http://www.newsweek.com/who-was-sally-ride-first-american-woman-space-honored-postage-stamp-945362,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/25/0525sallyridestamp.jpg,"2018-05-28 16:56:50",newsweek
399,https://www.facebook.com/mariaeperez126/,"Donald Trump Turned the U.S. into an 'Evil Empire' in just 500 Days, Jim Carrey Says",http://www.newsweek.com/jim-carrey-trump-administration-immigrant-children-946308,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/image-844555668.jpg,"2018-05-28 16:20:34",newsweek
400,https://www.facebook.com/byjessicakwong/,"Ivanka Trump Receives New China Trademarks, Raising Ethics Concerns",http://www.newsweek.com/ivanka-trump-scores-five-china-trademarks-raising-ethics-concerns-946303,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/052818ivankatrademarks.jpg,"2018-05-28 16:07:20",newsweek
401,kashmiragander,"What Causes Aggression? Scientists Turn off Angry Behavior in Mice",http://www.newsweek.com/aggression-scientists-turn-angry-behavior-mice-946283,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/fighting-stock-unsplash.jpg,"2018-05-28 15:59:59",newsweek
402,"Gillian Edevane","Congressman Cites Stormy Daniels, President Donald Trump in Decision Not To Run For Re-Election",http://www.newsweek.com/congressman-ryan-costello-election-2018-campaign-stormy-daniels-946289,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/gettyimages-935903952.jpg,"2018-05-28 15:53:55",newsweek
403,https://www.facebook.com/byjessicakwong/,"Did Trump Violate Ethics Rules With China Theme Park Deal? House Democrats Demand Federal Investigation Into $500 Million Loan",http://www.newsweek.com/democrats-demand-ethics-investigation-trump-over-chinese-loan-and-ban-lift-946276,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/052818trumpzte.jpg,"2018-05-28 15:18:39",newsweek
404,"Newsweek Special Edition","The Dino-Sized Scientific Issues Behind 'Jurassic Park'",http://www.newsweek.com/dino-sized-scientific-issues-behind-jurassic-park-943442,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/24/jurassic-park-iiiyubgpz.jpg,"2018-05-28 14:57:31",newsweek
405,https://www.facebook.com/mariaeperez126/,"Rick Santorum on Missing Immigrant Children: 'We Lose People all The Time' in Government Programs",http://www.newsweek.com/rick-santorum-immigrant-children-missing-children-department-health-and-human-946268,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/image-947774402.jpg,"2018-05-28 14:19:13",newsweek
406,"Gillian Edevane","Florida Police Officer Suggests David Hogg Get Hit by Car After Latest NRA Protests at Publix Stores",http://www.newsweek.com/david-hogg-police-officer-facebook-comment-publix-hit-car-946255,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/gettyimages-949097194.jpg,"2018-05-28 13:57:22",newsweek
407,"Kristin Hugo","Hawaii Volcano Eruption: Dangerous Volcanic Smog Blankets Sky in Marshall Islands, Thousands of Miles from Kilauea",http://www.newsweek.com/what-vog-volcanic-smog-blankets-sky-thousands-miles-kilauea-eruption-946242,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/vog.jpg,"2018-05-28 13:38:40",newsweek
408,kashmiragander,"CNN's April Ryan Says Melania Trump's Spokeswoman Is Creating 'Atmosphere of Hate'",http://www.newsweek.com/CNN%27s%20April%20Ryan%20Melania%20Trump%27s%20Spokeswoman%20Creating%20%27Atmosphere%20of%20Hate%27,http://s.newsweek.com/sites/www.newsweek.com/files/styles/full/public/2018/05/28/gettyimages-804587474.jpg,"2018-05-28 13:12:27",newsweek
