id,source,author,title,url,urlToImage,publishedAt,SourceId
273,abc-news,"ABC News","Doctors successfully complete 6-way rare organ transplant",http://abcnews.go.com/Health/doctors-chicago-hospital-successfully-complete-rare-organ-transplant/story?id=53424015,NULL,"2018-03-01 00:11:42",abc-news
274,abc-news,"ABC News","Arrest made in shooting of ATF agent in Chicago",https://abcnews.go.com/US/arrest-made-shooting-atf-agent-chicago/story?id=55014624,NULL,"2018-05-08 15:05:20",abc-news
275,abc-news,"ABC News","WATCH: Students brave the cold to rally for gun reform in Chicago",http://abcnews.go.com/US/video/students-brave-cold-rally-gun-reform-chicago-53746002,https://s.abcnews.com/images/US/180314_vod_chicago_walkout_16x9_992.jpg,"2018-03-14 17:33:57",abc-news
276,abc-news,"ABC News","WATCH: A teen has been arrested for allegedly trying to detonate a bomb in school",http://abcnews.go.com/WNT/video/teen-arrested-allegedly-detonate-bomb-school-53594658,https://s.abcnews.com/images/WNT/180307_wn_index2_16x9_992.jpg,"2018-03-08 00:45:36",abc-news
277,abc-news,"ABC News","Chicago gun violence drops, but 'why' is a hard question to answer",http://abcnews.go.com/US/chicago-gun-violence-drops-hard-question-answer/story?id=53439423,https://s.abcnews.com/images/US/chicago-cop-shot-scene-01-ap-jef-180213_16x9_992.jpg,"2018-03-03 12:31:24",abc-news
278,abc-news,"ABC News","Kim Kardashian West explains why she chose surrogacy",http://abcnews.go.com/GMA/Culture/kim-kardashian-west-explains-chose-surrogate-child/story?id=53715998,https://s.abcnews.com/images/Entertainment/kim-kardashian-gty-thg-180226_16x9_992.jpg,"2018-03-13 19:11:48",abc-news
279,abc-news,"ABC News","Student wounded by University of Chicago police charged, arraigned",http://abcnews.go.com/US/student-wounded-university-chicago-police-charged-arraigned/story?id=54256587,https://s.abcnews.com/images/US/chicago-police-ht-er-180405_hpMain_16x9_992.jpg,"2018-04-05 21:12:57",abc-news
300,breitbart-news,"Dr. Susan Berry","Chicago GOP to File Lawsuit Against Chicago Public Schools: Student Walkout ‘Political Indoctrination, Pure and Simple’",http://www.breitbart.com/big-government/2018/03/15/chicago-gop-file-lawsuit-chicago-public-schools-student-walkout-political-indoctrination-pure-simple/,http://media.breitbart.com/media/2018/03/student-walkout.png,"2018-03-15 18:30:47",breitbart-news
301,breitbart-news,AP,"Loyola-Chicago Upsets Tennessee 63-62",http://www.breitbart.com/sports/2018/03/17/loyola-chicago-upsets-tennessee-63-62/,http://media.breitbart.com/media/2018/03/AP-Tony-Gutierrez.png,"2018-03-18 01:30:48",breitbart-news
302,breitbart-news,"Ben Kew, Ben Kew","Chance the Rapper: Generations of Chicago Democrats Had ‘No Regard for Black Schools, Neighborhoods, or Lives’",http://www.breitbart.com/big-hollywood/2018/04/27/chance-rapper-generations-chicago-democrats-no-regard-black-schools-neighborhoods-lives/,http://media.breitbart.com/media/2017/08/ChancetheRapperBiggerVoiceThanTrump.jpg,"2018-04-27 18:36:51",breitbart-news
303,breitbart-news,AFP,"White Sox Pitcher Farquhar Suffers Brain Hemorrhage",http://www.breitbart.com/sports/2018/04/22/white-sox-pitcher-farquhar-suffers-brain-hemorrhage/,http://media.breitbart.com/media/2018/04/AP-Tom-Szczerbowski.png,"2018-04-22 14:16:51",breitbart-news
